"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"68817099999","2021-10-01T00:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","180,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0166,1","+0093,1","10141,1",,"120,M,+0243,1","120,N,+0166,1","99999,9,10128,1","7,1,006,1,+999,9",,"4,99,0139,1,999","SYN08068817 36/// /1816 10166 20093 30128 40141 57006 333 10243 20166 91027 555 91014=",
"68817099999","2021-10-01T03:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","170,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0148,1","+0104,1","10138,1",,"240,M,+0243,1","240,N,+0146,1","99999,9,10125,1","7,1,006,1,+999,9",,"4,99,0165,1,999","SYN07068817 46/// /1718 10148 20104 30125 40138 57006 333 10243 20146 91032=",
"68817099999","2021-10-01T06:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","170,1,N,0108,1","99999,9,9,N","999999,9,9,9","+0149,1","+0113,1","10158,1",,"240,N,+0139,1",,"99999,9,10145,1","3,1,011,1,+999,9",,"4,99,0185,1,999","SYN08068817 36/// /1721 10149 20113 30145 40158 53011 333 20139 91036 555 10243 91015=",
"68817099999","2021-10-01T09:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","170,1,N,0098,1","99999,9,9,N","999999,9,9,9","+0178,1","+0112,1","10161,1",,"240,M,+0180,1","240,N,+0139,1","99999,9,10148,1","2,1,001,1,+999,9",,"4,99,0160,1,999","SYN07068817 46/// /1719 10178 20112 30148 40161 52001 333 10180 20139 91031=",
"68817099999","2021-10-01T12:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","170,1,N,0108,1","99999,9,9,N","999999,9,9,9","+0179,1","+0098,1","10150,1",,"240,M,+0192,1","240,N,+0139,1","99999,9,10137,1","7,1,007,1,+999,9",,"4,99,0180,1,999","SYN08068817 36/// /1721 10179 20098 30137 40150 57007 333 10192 20139 91035 555 91015=",
"68817099999","2021-10-01T15:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","180,1,N,0113,1","99999,9,9,N","999999,9,9,9","+0157,1","+0096,1","10144,1",,"240,M,+0192,1","240,N,+0156,1","99999,9,10131,1","7,1,007,1,+999,9",,"4,99,0201,1,999","SYN07068817 46/// /1822 10157 20096 30131 40144 57007 333 10192 20156 91039=",
"68817099999","2021-10-01T18:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","170,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0155,1","+0087,1","10163,1",,"120,M,+0192,1","120,N,+0152,1","99999,9,10150,1","2,1,015,1,+999,9",,"4,99,0149,1,999","SYN08068817 36/// /1718 10155 20087 30150 40163 52015 333 10192 20152 91029 555 91016=",
"68817099999","2021-10-01T21:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0139,1","+0081,1","10181,1",,"240,M,+0192,1","240,N,+0139,1","99999,9,10168,1","2,1,020,1,+999,9",,"4,99,0021,1,999","SYN07068817 46/// /0000 10139 20081 30168 40181 52020 333 10192 20139 91004=",
"68817099999","2021-10-02T03:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","070,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0111,1","+0092,1","10170,1",,"240,M,+0192,1","240,N,+0111,1","99999,9,10157,1","7,1,002,1,+999,9",,"4,99,0051,1,999","SYN07068817 46/// /0705 10111 20092 30157 40170 57002 333 10192 20111 91010=",
"68817099999","2021-10-02T06:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","200,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0127,1","+0069,1","10192,1","24,0002,3,1","240,N,+0110,1",,"99999,9,10179,1","3,1,011,1,+999,9",,"4,99,0062,1,999","SYN09268817 16/// /2006 10127 20069 30179 40192 53011 69924 333 20110 91012 555 10192 20002 91019=",
